1.html , Spring 2004 Women's Tennis Schedule,  Oct 18 (Sat) 09:00 AM, Patriot League Championship, Bethlehem Pa., Lehigh wins three titles,
1.html , Spring 2004 Women's Tennis Schedule,  Oct 25 (Sat), ITA Division I East Regional Championships, Blacksburg VA, Complete results,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Nov 14 (Sun) 12:00:00 PM, Robert Morris, Moon Township Pa., W, 72-64,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Nov 21 (Sun) 2:00:00 PM, Princeton, Stabler Arena, L, 52-69,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Nov 23 (Tue) 7:00:00 PM, Villanova, Villanova Pa., L, 68-69,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Nov 26 (Fri) 5:00:00 PM, Louisiana State, Storrs Conn., L, 63-74,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Nov 27 (Sat) 7:30:00 PM, #1/1 Connecticut, Storrs Conn., L, 38-81,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Nov 28 (Sun) 2:00:00 PM, Howard, Storrs Conn., W, 56-29,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Dec 1 (Wed) 12:00:00 PM, St. Joseph's, Stabler Arena, W, 46-40,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Dec 4 (Sat) 5:00:00 PM, Binghamton, Stabler Arena, W, 72-60,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Dec 7 (Tue) 7:00:00 PM, St. Peter's, Jersey City N.J., W, 83-62,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Dec 9 (Thu) 7:00:00 PM, N.J.I.T., Newark N.J., W, 53-45,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Dec 11 (Sat) 7:00:00 PM, Wagner, Stabler Arena, W, 76-58,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Dec 29 (Wed) 7:30:00 PM, Rider, Stabler Arena, W, 58-41,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Dec 30 (Thu) 7:30:00 PM, Mississippi St, Stabler Arena, W, 68-59,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Jan 2 (Sun) 2:00:00 PM, La Salle, Stabler Arena, W, 85-67,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Jan 8 (Sat) 7:00:00 PM, American, Stabler Arena, L, 51-64,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Jan 12 (Wed) 7:00:00 PM, Navy, Annapolis Md., L, 62-63,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Jan 16 (Sun) 2:00:00 PM, Army, West Point N.Y., L, 52-54,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Jan 19 (Wed) 7:00:00 PM, Colgate, Stabler Arena, W, 75-57,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Jan 22 (Sat) 7:00:00 PM, Lafayette, Stabler Arena, L, 54-57,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Jan 26 (Wed) 7:00:00 PM, Bucknell, Lewisburg Pa., W, 64-48,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Jan 29 (Sat) 1:00:00 PM, Holy Cross, Worcester Mass., W, 77-67,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Feb 5 (Sat) 2:00:00 PM, American, Washington D.C., W, 57-46,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Feb 9 (Wed) 7:00:00 PM, Navy, Stabler Arena, W, 63-59,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Feb 12 (Sat) 7:00:00 PM, Army, Stabler Arena, W, 70-57,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Feb 16 (Wed) 7:00:00 PM, Colgate, Hamilton N.Y., W, 72-65,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Feb 19 (Sat) 1:00:00 PM, Lafayette, Easton Pa., W, 70-49,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Feb 23 (Wed) 7:00:00 PM, Bucknell, Stabler Arena, W, 72-39,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Feb 26 (Sat) 7:30:00 PM, Holy Cross, Stabler Arena, W, 83-55,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Mar 5 (Sat) 7:00:00 PM, Lafayette, Stabler Arena, W, 82-58,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Mar 9 (Wed) 7:00:00 PM, American, Stabler Arena, L, 64-69,
2.html , Winter 2010-2011 Women's Basketball Schedule,  Mar 17 (Thu) 7:00:00 PM, St. Bonaventure, St. Bonaventure N.Y., L, 43-77,
3.html , Fall 2009 Football Schedule,  Sep 5 (Sat) 12:30 PM, Central Connecticut State, Goodman Stadium, L, 21-28,
3.html , Fall 2009 Football Schedule,  Sep 12 (Sat) 07:00 PM, No. 3 Villanova, Villanova Pa., L, 17-38,
3.html , Fall 2009 Football Schedule,  Sep 26 (Sat) 12:30 PM, Princeton, Goodman Stadium, L, 14-17,
3.html , Fall 2009 Football Schedule,  Oct 3 (Sat) 12:30 PM, Harvard, Goodman Stadium, L, 14-28,
3.html , Fall 2009 Football Schedule,  Oct 10 (Sat) 12:30:00 PM, Georgetown, Goodman Stadium, W, 27-0,
3.html , Fall 2009 Football Schedule,  Oct 17 (Sat) 12:30 PM, Yale, Goodman Stadium, L, 0-7,
3.html , Fall 2009 Football Schedule,  Oct 24 (Sat) 1:00:00 PM, Bucknell, Lewisburg Pa., W, 35-16,
3.html , Fall 2009 Football Schedule,  Oct 31 (Sat) 1:00:00 PM, No. 24/25 Colgate, Hamilton N.Y., L, 20-27,
3.html , Fall 2009 Football Schedule,  Nov 7 (Sat) 12:30:00 PM, No. 13/14 Holy Cross, Goodman Stadium, L, 20-24,
3.html , Fall 2009 Football Schedule,  Nov 14 (Sat) 1:00:00 PM, Fordham, Bronx N.Y., W, 35-28,
3.html , Fall 2009 Football Schedule,  Nov 21 (Sat) 12:30 PM, Lafayette, Goodman Stadium, W, 27-21 OT,
4.html , Fall 2011 Field Hockey Schedule,  Sep 2 (Fri) 7:00:00 PM, Georgetown, Ulrich Sports Complex, L, 2-3,
4.html , Fall 2011 Field Hockey Schedule,  Sep 4 (Sun) 1:00:00 PM, Saint Francis (Pa.), Loretta Pa., L, 0-3,
4.html , Fall 2011 Field Hockey Schedule,  Sep 9 (Fri) 4:00:00 PM, Monmouth, West Long Branch N.J., L, 1-4,
4.html , Fall 2011 Field Hockey Schedule,  Sep 11 (Sun) 1:00:00 PM, La Salle, Ulrich Sports Complex, W, 4-3,
4.html , Fall 2011 Field Hockey Schedule,  Sep 14 (Wed) 3:00:00 PM, Quinnipiac, Hamden Conn., L, 2-3,
4.html , Fall 2011 Field Hockey Schedule,  Sep 17 (Sat) 1:00:00 PM, Fairfield, Ulrich Sports Complex, L, 0-2,
4.html , Fall 2011 Field Hockey Schedule,  Sep 18 (Sun) 3:30:00 PM, Saint Joseph's, Philadelphia Pa., L, 0-1,
4.html , Fall 2011 Field Hockey Schedule,  Sep 23 (Fri) 4:00:00 PM, Sacred Heart, Fairfield Conn., L, 4-6,
4.html , Fall 2011 Field Hockey Schedule,  Sep 24 (Sat) 3:00:00 PM, Maine, Hamden Conn., L, 0-11,
4.html , Fall 2011 Field Hockey Schedule,  Sep 28 (Wed) 4:00:00 PM, Siena, Ulrich Sports Complex, W, 3-2,
4.html , Fall 2011 Field Hockey Schedule,  Oct 1 (Sat) 12:00:00 PM, American, Washington D.C., L, 0-5,
4.html , Fall 2011 Field Hockey Schedule,  Oct 2 (Sun) 1:00:00 PM, Rider, Ulrich Sports Complex, L, 1-6,
4.html , Fall 2011 Field Hockey Schedule,  Oct 8 (Sat) 1:00:00 PM, Colgate, Ulrich Sports Complex, W, 2-1,
4.html , Fall 2011 Field Hockey Schedule,  Oct 9 (Sun) 3:00:00 PM, Cornell, Ulrich Sports Complex, L, 3-4,
4.html , Fall 2011 Field Hockey Schedule,  Oct 12 (Wed) 7:00:00 PM, Penn, Ulrich Sports Complex, W, 4-3,
4.html , Fall 2011 Field Hockey Schedule,  Oct 15 (Sat) 1:00:00 PM, Bucknell, Ulrich Sports Complex, W, 1-0,
4.html , Fall 2011 Field Hockey Schedule,  Oct 22 (Sat) 12:00:00 PM, Lafayette, Easton Pa., L, 0-4,
4.html , Fall 2011 Field Hockey Schedule,  Oct 29 (Sat) 11:00:00 AM, Holy Cross, Worcester Mass., W, 3-1,
4.html , Fall 2011 Field Hockey Schedule,  Nov 4 (Fri) 2:00:00 PM, Lafayette, Washington D.C., L, 0-8,
5.html , Winter 2011-2012 Men's Swimming and Diving Schedule,  Oct 9 (Sun) 1:00:00 PM, Holy Cross, Worcester Mass., W, 155-80,
5.html , Winter 2011-2012 Men's Swimming and Diving Schedule,  Oct 21 (Fri) 6:00:00 PM, West Chester, West Chester Pa., W, 136.5-106.5,
5.html , Winter 2011-2012 Men's Swimming and Diving Schedule,  Oct 29 (Sat) 1:00:00 PM, Colgate, Jacobs Pool, W, 229-62,
5.html , Winter 2011-2012 Men's Swimming and Diving Schedule,  Nov 5 (Sat) 1:00:00 PM, Rider, Jacobs Pool, W, 181-119,
6.html , Fall 2003 Football Schedule,  Sep 6 (Sat) 12:15:00 PM, Holy Cross, Goodman Stadium, W, 38-20,
6.html , Fall 2003 Football Schedule,  Sep 13 (Sat) 1:00:00 PM, No. 9 Fordham, Goodman Stadium, W, 23-16,
6.html , Fall 2003 Football Schedule,  Sep 20 (Sat) 07:00 PM, Princeton, Princeton NJ, W, 28-13,
6.html , Fall 2003 Football Schedule,  Sep 27 (Sat) 01:00 PM, No. 21 Penn, Goodman Stadium, L, 24-31,
6.html , Fall 2003 Football Schedule,  Oct 4 (Sat) 01:00 PM, Connecticut, East Hartford CT, L, 17-35,
6.html , Fall 2003 Football Schedule,  Oct 11 (Sat) 01:00 PM, Saint Marys, Goodman Stadium, W, 35-7,
6.html , Fall 2003 Football Schedule,  Oct 25 (Sat) 1:00:00 PM, Georgetown, Washington D.C., W, 45-24,
6.html , Fall 2003 Football Schedule,  Nov 1 (Sat) 12:30:00 PM, Towson, Goodman Stadium, W, 35-3,
6.html , Fall 2003 Football Schedule,  Nov 8 (Sat) 12:30:00 PM, No. 10 Colgate, Hamilton NY, L, 10-17,
6.html , Fall 2003 Football Schedule,  Nov 15 (Sat) 1:00:00 PM, Bucknell, Lewisburg PA, W, 45-9,
6.html , Fall 2003 Football Schedule,  Nov 22 (Sat) 12:30:00 PM, Lafayette, Goodman Stadium, W, 30-10,
7.html , All 2004-2005 Men's Golf Schedule,  Sep 11 (Sat) 08:00 AM, Colgate Invitational, Hamilton N.Y., Na,9 of 19,
7.html , All 2004-2005 Men's Golf Schedule,  Sep 17 (Fri) 08:00 AM, Bucknell Invitational, Lewisburg Pa., Cancelled,
7.html , All 2004-2005 Men's Golf Schedule,  Sep 25 (Sat) 08:00 AM, Cornell Invitational, Ithaca N.Y., T10 of 16,
7.html , All 2004-2005 Men's Golf Schedule,  Oct 4 (Mon) 08:00 AM, Joe Agee Invitational, New Kent Va., T10 of 17,
7.html , All 2004-2005 Men's Golf Schedule,  Oct 10 (Sun) 01:00 PM, Don Mershon Classic, Indian Valley CC Telford Pa., T4 of 16,
7.html , All 2004-2005 Men's Golf Schedule,  Oct 16 (Sat) 08:00 AM, Big Five Classic, Philadelphia PA, Na,11 of 13,
7.html , All 2004-2005 Men's Golf Schedule,  Mar 20 (Sun) 08:00 AM, William & Mary, Williamsburg Va., T15 of 18,
7.html , All 2004-2005 Men's Golf Schedule,  Apr 2 (Sat) 08:00 AM, George Washington Invitational, Washington D.C., T14 of 26,
7.html , All 2004-2005 Men's Golf Schedule,  Apr 8 (Fri) 01:00 PM, Lafayette Invitational, Center Valley Pa., Na,12 of 23,
7.html , All 2004-2005 Men's Golf Schedule,  Apr 16 (Sat) 08:00 AM, Navy Invitational, Annapolis Md., Na,15 of 20,
7.html , All 2004-2005 Men's Golf Schedule,  Apr 20 (Wed) 01:00 PM, Lehigh Valley Collegiate, Lehigh Country Club, Na,1 of 4,
7.html , All 2004-2005 Men's Golf Schedule,  Apr 23 (Sat) 08:00 AM, Patriot League Championships, Lewisburg Pa., Na,3rd of 8,
7.html , All 2004-2005 Men's Golf Schedule,  Apr 24 (Sun) 08:00 AM, PL Championship, Lewisburg Pa., Na,5 of 8,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Nov 15 (Fri), Dartmouth, Stabler Arena, W, 68-62,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Nov 24 (Sun), Illinois, Champaign, L, 56-90,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Nov 27 (Wed), Swarthmore, Stabler Arena, W, 83-46,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Nov 30 (Sat), Hofstra, Hempstead NY, L, 50-63,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Dec 1 (Sun), Texas-Pan American, Hempstead NY, W, 66-52,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Dec 4 (Wed), Cornell, Stabler Arena, W, 66-49,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Dec 7 (Sat), Harvard, Boston MA, L, 72-84,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Dec 9 (Mon), Columbia, Stabler Arena, W, 67-51,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Dec 23 (Mon), Stony Brook, Stony Brook NY, W, 54-48,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Dec 30 (Mon), Miami, Miami FL, L, 62-68,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Jan 2 (Thu), Wagner, Staten Island NY, L, 68-80,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Jan 4 (Sat), St. Francis N.Y., Stabler Arena, W, 74-68,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Jan 8 (Wed), Haverford, Stabler Arena, W, 86-74,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Jan 11 (Sat), Navy, Annapolis MD, W, 76-59,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Jan 15 (Wed), Bucknell, Lewisburg PA, W, 60-56,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Jan 18 (Sat), American, Stabler Arena, W, 57-54,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Jan 24 (Fri), Lafayette, Stabler Arena, W, 85-73,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Jan 26 (Sun), Army, Stabler Arena, W, 78-61,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Jan 31 (Fri), Holy Cross, Worcester MA, L, 39-63,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Feb 2 (Sun), Colgate, Hamilton NY, L, 68-77,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Feb 8 (Sat), Navy, Stabler Arena, W, 78-61,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Feb 11 (Tue), Bucknell, Stabler Arena, W, 61-49,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Feb 15 (Sat), American, Washington D.C., L, 59-69,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Feb 21 (Fri), Army, West Point NY, W, 59-52,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Feb 23 (Sun), Lafayette, Easton PA, L, 68-86,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Feb 28 (Fri), Colgate, Stabler Arena, L, 68-75,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Mar 3 (Mon), Holy Cross, Stabler Arena, L, 64-72,
8.html , Winter 2002-2003 Men's Basketball Schedule,  Mar 8 (Sat), Bucknell, Upper Marlboro MD, L, 47-52,
10.html , Spring 2010 Women's Tennis Schedule,  Sep 18 (Fri) All Day, Cornell Fall Invitational, Ithaca N.Y., Na,recap,
10.html , Spring 2010 Women's Tennis Schedule,  Oct 10 (Sat) All Day, Men's and Women's Team Tennis Challenge, Lewis Tennis Center, Na,recap,
10.html , Spring 2010 Women's Tennis Schedule,  Oct 11 (Sun) All Day, Men's and Women's Team Tennis Challenge, Lewis Tennis Ceter, Na,Recap,
10.html , Spring 2010 Women's Tennis Schedule,  Oct 24 (Sat) All Day, Lehigh Fall Tennis Championships, Lewis Tennis Center, Na,recap,
10.html , Spring 2010 Women's Tennis Schedule,  Oct 25 (Sun) All Day, Lehigh Fall Tennis Championships, Lewis Tennis Center, Na,recap,
10.html , Spring 2010 Women's Tennis Schedule,  Jan 24 (Sun) 03:00 PM, Penn State, Lewis Tennis Center, L, 2-5,
10.html , Spring 2010 Women's Tennis Schedule,  Jan 31 (Sun) 10:00 AM, Fairleigh Dickinson, Lewis Tennis Center, L, 0-7,
10.html , Spring 2010 Women's Tennis Schedule,  Feb 4 (Thu) 03:00 PM, Rutgers, Lewis Tennis Center, Postponed,
10.html , Spring 2010 Women's Tennis Schedule,  Feb 6 (Sat) 10:00 AM, Radford, Lewis Tennis Center, Postponed,
10.html , Spring 2010 Women's Tennis Schedule,  Feb 12 (Fri) 01:30 PM, Rutgers, Lewis Tennis Center, L, 0-7,
10.html , Spring 2010 Women's Tennis Schedule,  Feb 14 (Sun) 10:00 AM, Mount St. Mary's, Lewis Tennis Center, L, 3-4,
10.html , Spring 2010 Women's Tennis Schedule,  Feb 20 (Sat) 02:00 PM, Marist, Lewis Tennis Center, W, 5-2,
10.html , Spring 2010 Women's Tennis Schedule,  Feb 21 (Sun) 10:00 AM, Drexel, Lewis Tennis Center, L, 1-6,
10.html , Spring 2010 Women's Tennis Schedule,  Feb 23 (Tue) 03:00 PM, Towson, Lewis Tennis Center, L, 3-4,
10.html , Spring 2010 Women's Tennis Schedule,  Mar 18 (Thu) 04:00 PM, Delaware, Lewis Tennis Center, L, 0-7,
10.html , Spring 2010 Women's Tennis Schedule,  Mar 24 (Wed) 03:00 PM, Army, Lewis Tennis Center, L, 0-7,
10.html , Spring 2010 Women's Tennis Schedule,  Mar 28 (Sun) 12:00 PM, Holy Cross, West Point N.Y., W, 6-1,
10.html , Spring 2010 Women's Tennis Schedule,  Mar 29 (Mon) 04:00 PM, Stony Brook, Lewis Tennis Center, L, 0-7,
10.html , Spring 2010 Women's Tennis Schedule,  Apr 2 (Fri) 02:00 PM, Navy, Annapolis Md., L, 1-6,
10.html , Spring 2010 Women's Tennis Schedule,  Apr 3 (Sat) 10:00 AM, George Mason, Fairfax Va., L, 0-7,
10.html , Spring 2010 Women's Tennis Schedule,  Apr 6 (Tue) 03:00 PM, Lafayette, Ulrich Varsity Courts, W, 5-2,
10.html , Spring 2010 Women's Tennis Schedule,  Apr 8 (Thu) 03:00 PM, Bucknell, Lewisburg Pa., L, 0-7,
10.html , Spring 2010 Women's Tennis Schedule,  Apr 10 (Sat) 10:30 AM, Colgate, Ulrich Varsity Courts, L, 2-5,
10.html , Spring 2010 Women's Tennis Schedule,  Apr 11 (Sun) 11:00 AM, Fordham, Ulrich Varsity Courts, W, 5-2,
10.html , Spring 2010 Women's Tennis Schedule,  Apr 16 (Fri) 10:00 AM, Colgate, Hamilton N.Y., L, 1-4,
11.html , Fall 2011 Women's Volleyball Schedule,  Aug 31 (Wed) 6:00:00 PM, Rider, , W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 2 (Fri) 7:30:00 PM, James Madison, , L, 2-3,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 3 (Sat) 10:00:00 AM, Robert Morris, , W, 3-2,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 3 (Sat) 5:00:00 PM, Coastal Carolina, , W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 6 (Tue) 7:00:00 PM, NJIT, , L, 2-3,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 9 (Fri) 2:00:00 PM, Temple, , W, 3-1,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 10 (Sat) 10:00:00 AM, Long Island, , L, 1-3,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 10 (Sat) 3:00:00 PM, Syracuse, , L, 0-3,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 13 (Tue) 7:00:00 PM, Rutgers, , L, 0-3,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 16 (Fri) 6:00:00 PM, St Francis (PA), Leeman- Turner Arena, W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 17 (Sat) 10:00:00 AM, Princeton, Leeman- Turner Arena, W, 3-1,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 17 (Sat) 3:00:00 PM, La Salle, Leeman- Turner Arena, W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 20 (Tue) 7:00:00 PM, St. Peter's, , W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 23 (Fri) 7:00:00 PM, Army, Leeman- Turner Arena, L, 1-3,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 24 (Sat) 4:00:00 PM, Holy Cross, Leeman- Turner Arena, W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Sep 30 (Fri) 7:00:00 PM, Colgate, , L, 0-3,
11.html , Fall 2011 Women's Volleyball Schedule,  Oct 1 (Sat) 4:00:00 PM, Bucknell, , W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Oct 7 (Fri) 7:00:00 PM, Lafayette, Leeman- Turner Arena, W, 3-2,
11.html , Fall 2011 Women's Volleyball Schedule,  Oct 14 (Fri) 7:00:00 PM, Navy, Leeman- Turner Arena, W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Oct 15 (Sat) 4:00:00 PM, American, Leeman- Turner Arena, W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Oct 21 (Fri) 7:00:00 PM, Holy Cross, , W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Oct 22 (Sat) 4:00:00 PM, Army, , L, 1-3,
11.html , Fall 2011 Women's Volleyball Schedule,  Oct 25 (Tue) 7:00:00 PM, Delaware State, , W, 3-1,
11.html , Fall 2011 Women's Volleyball Schedule,  Oct 28 (Fri) 7:00:00 PM, Lafayette, , W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Nov 4 (Fri) 7:00:00 PM, Bucknell, Leeman- Turner Arena, W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Nov 5 (Sat) 4:00:00 PM, Colgate, Leeman- Turner Arena, W, 3-2,
11.html , Fall 2011 Women's Volleyball Schedule,  Nov 11 (Fri) 7:00:00 PM, American, , L, 0-3,
11.html , Fall 2011 Women's Volleyball Schedule,  Nov 12 (Sat) 4:00:00 PM, Navy, , W, 3-0,
11.html , Fall 2011 Women's Volleyball Schedule,  Nov 19 (Sat) 5:00:00 PM, No. 2 Army, Washington D.C., L, 0-3,
12.html , Spring 2005 Softball Schedule,  Feb 25 (Fri) 12:00 PM, No. 21 Florida State, Columbus Ga., L, 1-5,
12.html , Spring 2005 Softball Schedule,  Feb 25 (Fri) 07:30 PM, No. 13 Oklahoma, Columbus Ga., L, 0-5,
12.html , Spring 2005 Softball Schedule,  Feb 26 (Sat) 12:30 PM, Michigan State, Columbus Ga., W, 1-0 8 innings,
12.html , Spring 2005 Softball Schedule,  Feb 26 (Sat), Texas State, Columbus Ga., W, 3-1,
12.html , Spring 2005 Softball Schedule,  Feb 27 (Sun) 11:00 AM, Nebraska, Columbus Ga., Cancelled,
12.html , Spring 2005 Softball Schedule,  Mar 2 (Wed) 02:30 PM, Drexel, Philadelphia Pa., Postponed,
12.html , Spring 2005 Softball Schedule,  Mar 2 (Wed) 04:30 PM, Drexel, Philadelphia Pa., Postponed,
12.html , Spring 2005 Softball Schedule,  Mar 6 (Sun) 08:45 AM, La Salle, Kissimmee Fla., W, 3-1,
12.html , Spring 2005 Softball Schedule,  Mar 6 (Sun) 10:45 AM, Pennsylvania, Kissimmee Fla., W, 5-2,
12.html , Spring 2005 Softball Schedule,  Mar 7 (Mon) 02:15 PM, Pennsylvania, Kissimmee Fla., W, 6-2,
12.html , Spring 2005 Softball Schedule,  Mar 7 (Mon) 06:00 PM, Toledo, Kissimmee Fla., L, 1-2,
12.html , Spring 2005 Softball Schedule,  Mar 9 (Wed) 02:15 PM, Tennessee State, Kissimmee Fla., Cancelled,
12.html , Spring 2005 Softball Schedule,  Mar 9 (Wed) 04:15 PM, Creighton, Kissimmee Fla., Cancelled,
12.html , Spring 2005 Softball Schedule,  Mar 10 (Thu) 12:30 PM, Fairfield, Kissimmee Fla., W, 4-0,
12.html , Spring 2005 Softball Schedule,  Mar 10 (Thu) 04:15 PM, Wagner, Kissimmee Fla., W, 1-0 8 innings,
12.html , Spring 2005 Softball Schedule,  Mar 11 (Fri) 08:45 AM, IPFW, Kissimmee Fla., W, 8-3,
12.html , Spring 2005 Softball Schedule,  Mar 11 (Fri) 12:30 PM, Loyola, Kissimmee Fla., W, 1-0,
